team,number,player,position,height,weight,birthdate,experience,college
ATL, 6, Pero Antic, PF, 6-11, 260, July 29 1982, R, 
ATL, 14, Gustavo Ayon, C, 6-10, 250, April 1 1985, 2, 
ATL, 42, Elton Brand, PF, 6-8, 275, March 11 1979, 14, Duke University
ATL, 5, DeMarre Carroll, SF, 6-8, 212, July 27 1986, 4, University of Missouri
ATL, 7, Jared Cunningham, SG, 6-4, 194, May 22 1991, 1, Oregon State University
ATL, 15, Al Horford, C, 6-10, 245, June 3 1986, 6, University of Florida
ATL, 12, John Jenkins, SG, 6-4, 215, March 6 1991, 1, Vanderbilt University
ATL, 26, Kyle Korver, SG, 6-7, 210, March 17 1981, 10, Creighton University
ATL, 8, Shelvin Mack, PG, 6-3, 215, April 22 1989, 2, Butler University
ATL, 20, Cartier Martin, SF, 6-7, 220, November 20 1984, 5, Kansas State University
ATL, 4, Paul Millsap, PF, 6-8, 245, February 10 1985, 7, Louisiana Tech University
ATL, 2, James Nunnally, SF, 6-7, 205, July 14 1990, R, University of California Santa Barbara
ATL, 45, Dexter Pittman, C, 6-11, 308, March 2 1988, 3, University of Texas at Austin
ATL, 17, Dennis Schroder, PG, 6-1, 168, September 15 1993, R, 
ATL, 32, Mike Scott, PF, 6-8, 237, July 16 1988, 1, University of Virginia
ATL, 0, Jeff Teague, PG, 6-2, 180, June 10 1988, 4, Wake Forest University
ATL, 3, Louis Williams, PG, 6-2, 175, October 27 1986, 8, 
BOS, 50, Joel Anthony, C, 6-9, 245, August 9 1982, 6, University of Nevada Las Vegas
BOS, 30, Brandon Bass, PF, 6-8, 240, April 30 1985, 8, Louisiana State University
BOS, 11, Jerryd Bayless, PG, 6-3, 200, August 20 1988, 5, University of Arizona
BOS, 13, Vander Blue, SG, 6-4, 200, July 17 1992, R, Marquette University
BOS, 4, Keith Bogans, SG, 6-5, 215, May 12 1980, 10, University of Kentucky
BOS, 0, Avery Bradley, PG, 6-2, 180, November 26 1990, 3, University of Texas at Austin
BOS, 12, MarShon Brooks, SG, 6-5, 200, January 26 1989, 2, Providence College
BOS, 27, Jordan Crawford, SG, 6-4, 195, October 23 1988, 3, Xavier University
BOS, 38, Vitor Faverani, C, 6-11, 260, May 5 1988, R, 
BOS, 8, Jeff Green, SF, 6-9, 235, August 28 1986, 5, Georgetown University
BOS, 43, Kris Humphries, PF, 6-9, 235, February 6 1985, 9, University of Minnesota
BOS, 12, Chris Johnson, SF, 6-6, 201, April 29 1990, 1, University of Dayton
BOS, 11, Courtney Lee, SG, 6-5, 200, October 3 1985, 5, Western Kentucky University
BOS, 41, Kelly Olynyk, C, 7-0, 238, April 19 1991, R, Gonzaga University
BOS, 26, Phil Pressey, PG, 5-11, 175, February 17 1991, R, University of Missouri
BOS, 9, Rajon Rondo, PG, 6-1, 171, February 22 1986, 7, University of Kentucky
BOS, 7, Jared Sullinger, PF, 6-9, 280, March 4 1992, 1, Ohio State University
BOS, 45, Gerald Wallace, SF, 6-7, 215, July 23 1982, 12, University of Alabama
BRK, 6, Alan Anderson, SF, 6-6, 220, October 16 1982, 4, Michigan State University
BRK, 0, Andray Blatche, PF, 6-11, 235, August 22 1986, 8, 
BRK, 46, Jason Collins, C, 7-0, 255, December 2 1978, 12, Stanford University
BRK, 30, Reggie Evans, PF, 6-8, 245, May 18 1980, 11, University of Iowa
BRK, 2, Kevin Garnett, C, 6-11, 220, May 19 1976, 18, 
BRK, 7, Joe Johnson, SG, 6-8, 225, June 29 1981, 12, University of Arkansas
BRK, 47, Andrei Kirilenko, PF, 6-9, 220, February 18 1981, 11, 
BRK, 14, Shaun Livingston, PG, 6-7, 182, September 11 1985, 8, 
BRK, 11, Brook Lopez, C, 7-0, 260, April 1 1988, 5, Stanford University
BRK, 34, Paul Pierce, SF, 6-6, 230, October 13 1977, 15, University of Kansas
BRK, 1, Mason Plumlee, PF, 6-10, 235, March 5 1990, R, Duke University
BRK, 20, Tornike Shengelia, SF, 6-9, 217, October 5 1991, 1, 
BRK, 10, Tyshawn Taylor, PG, 6-3, 185, April 12 1990, 1, University of Kansas
BRK, 12, Marquis Teague, G, 6-2, 189, February 28 1993, 1, University of Kentucky
BRK, 33, Mirza Teletovic, SF, 6-8, 235, September 18 1985, 1, 
BRK, 31, Jason Terry, PG, 6-2, 176, September 15 1977, 14, University of Arizona
BRK, 8, Deron Williams, PG, 6-3, 210, June 26 1984, 8, University of Illinois at Urbana-Champaign
CHA, 4, Jeff Adrien, PF, 6-7, 243, February 10 1986, 3, University of Connecticut
CHA, 0, Bismack Biyombo, C, 6-9, 229, August 28 1992, 2, 
CHA, 55, Chris Douglas-Roberts, SF, 6-7, 200, January 8 1987, 4, University of Memphis
CHA, 8, Ben Gordon, SG, 6-3, 200, April 4 1983, 9, University of Connecticut
CHA, 9, Gerald Henderson, SG, 6-5, 215, December 9 1987, 4, Duke University
CHA, 25, Al Jefferson, PF, 6-10, 265, January 4 1985, 9, 
CHA, 14, Michael Kidd-Gilchrist, SF, 6-7, 232, September 26 1993, 1, University of Kentucky
CHA, 11, Josh McRoberts, PF, 6-10, 240, February 28 1987, 6, Duke University
CHA, 5, Jannero Pargo, PG, 6-1, 175, September 22 1979, 9, University of Arkansas
CHA, 7, Ramon Sessions, PG, 6-3, 190, April 11 1986, 6, University of Nevada Reno
CHA, 31, James Southerland, SF, 6-8, 215, April 28 1990, R, Syracuse University
CHA, 44, Jeff Taylor, SF, 6-7, 225, May 23 1989, 1, Vanderbilt University
CHA, 43, Anthony Tolliver, PF, 6-8, 240, June 1 1985, 5, Creighton University
CHA, 15, Kemba Walker, PG, 6-1, 172, May 8 1990, 2, University of Connecticut
CHA, 40, Cody Zeller, C, 7-0, 240, October 5 1992, R, Indiana University
CHI, 14, D.J. Augustin, PG, 6-0, 180, November 10 1987, 5, University of Texas at Austin
CHI, 5, Carlos Boozer, PF, 6-9, 258, November 20 1981, 11, Duke University
CHI, 21, Jimmy Butler, SG, 6-7, 220, September 14 1989, 2, Marquette University
CHI, 9, Luol Deng, SF, 6-8, 220, April 16 1985, 9, Duke University
CHI, 34, Mike Dunleavy, SF, 6-9, 220, September 15 1980, 11, Duke University
CHI, 22, Taj Gibson, PF, 6-9, 225, June 24 1985, 4, University of Southern California
CHI, 12, Kirk Hinrich, PG, 6-3, 190, January 2 1981, 10, University of Kansas
CHI, 8, Mike James, PG, 6-2, 188, June 23 1975, 11, Duquesne University
CHI, 15, Cartier Martin, SF, 6-7, 220, November 20 1984, 5, Kansas State University
CHI, 48, Nazr Mohammed, C, 6-10, 221, September 5 1977, 15, University of Kentucky
CHI, 31, Erik Murphy, C, 6-10, 230, October 26 1990, R, University of Florida
CHI, 13, Joakim Noah, C, 6-11, 232, February 25 1985, 6, University of Florida
CHI, 1, Derrick Rose, PG, 6-3, 190, October 4 1988, 4, University of Memphis
CHI, 7, Tornike Shengelia, F, 6-9, 217, October 5 1991, 1, 
CHI, 20, Tony Snell, SG, 6-7, 200, November 10 1991, R, University of New Mexico
CHI, 25, Marquis Teague, SG, 6-2, 189, February 28 1993, 1, University of Kentucky
CHI, 32, Jarvis Varnado, F, 6-9, 230, March 1 1988, 1, Mississippi State University
CLE, 15, Anthony Bennett, SF, 6-8, 240, March 14 1993, R, University of Nevada Las Vegas
CLE, 21, Andrew Bynum, C, 7-0, 285, October 27 1987, 7, 
CLE, 6, Earl Clark, PF, 6-10, 225, January 17 1988, 4, University of Louisville
CLE, 8, Matthew Dellavedova, SG, 6-4, 200, September 8 1990, R, Saint Mary's College of California
CLE, 9, Luol Deng, SF, 6-8, 220, April 16 1985, 9, Duke University
CLE, 30, Carrick Felix, SG, 6-6, 201, August 17 1990, R, Arizona State University
CLE, 33, Alonzo Gee, SF, 6-6, 220, May 29 1987, 4, University of Alabama
CLE, 32, Spencer Hawes, C, 7-0, 245, April 28 1988, 6, University of Washington
CLE, 2, Kyrie Irving, PG, 6-2, 180, March 23 1992, 2, Duke University
CLE, 1, Jarrett Jack, PG, 6-3, 202, October 28 1983, 8, Georgia Institute of Technology
CLE, 10, Sergey Karasev, SF, 6-7, 203, October 26 1993, R, 
CLE, 0, C.J. Miles, SG, 6-6, 210, April 18 1987, 8, 
CLE, 14, Henry Sims, C, 6-10, 245, March 27 1990, 1, Georgetown University
CLE, 13, Tristan Thompson, PF, 6-8, 225, March 13 1991, 2, University of Texas at Austin
CLE, 17, Anderson Varejao, C, 6-10, 230, September 28 1982, 9, 
CLE, 3, Dion Waiters, SG, 6-4, 210, December 10 1991, 1, Syracuse University
CLE, 40, Tyler Zeller, C, 7-0, 250, January 17 1990, 1, University of North Carolina
DAL, 45, DeJuan Blair, PF, 6-7, 265, April 22 1989, 4, University of Pittsburgh
DAL, 8, Jose Calderon, SG, 6-3, 210, September 28 1981, 8, 
